"","ArticleDate","Title","Author","URL","Source","Shares_Fb","Shares_li"
"26",2015-06-15,"Amaysim overvalued, say fund managers","Business | David Ramli","http://www.theage.com.au/business/amaysim-overvalued-say-fund-managers-20150614-ghnk4x.html","The Age",0,0
"27",2015-07-15,"Mobile reseller Amaysim's ASX debut opens little changed","Business | David Ramli","http://www.theage.com.au/business/mobile-reseller-amaysims-asx-debut-opens-little-changed-20150715-giccit.html","The Age",0,0
"28",2015-06-23,"Amaysim to list on ASX below analyst valuations","Business | David Ramli","http://www.theage.com.au/business/amaysim-to-list-on-asx-below-analyst-valuations-20150623-ghv8jk.html","The Age",0,0
"29",2015-07-16,"Mobile service reseller Amaysim stays in positive territory","Retail | David Ramli","http://www.theage.com.au/business/retail/mobile-service-reseller-amaysim-stays-in-positive-territory-20150716-gie3l4.html","The Age",0,0
"30",2014-06-30,"Amaysim appoints new managing director as it prepares for sale","Business | David Ramli","http://www.theage.com.au/business/amaysim-appoints-new-managing-director-as-it-prepares-for-sale-20140701-zsrgi.html","The Age",0,0
"31",2013-11-26,"Rival collapses turn Amaysim profitable","SmallBiz Tech,Small business | Michael Bailey","http://www.theage.com.au/small-business/smallbiz-tech/rival-collapses-turn-amaysim-profitable-20131126-2y6os.html","The Age",1,0
"32",2016-01-27,"Why buying your mobile phone outright is cheaper than a plan","Saving | Erin Turner","http://www.theage.com.au/money/saving/why-buying-your-mobile-phone-outright-is-cheaper-than-a-plan-20160121-gma67a.html","The Age",125,0
"33",2016-01-04,"Banks fall on mortgage woes","Markets | Jessica Sier","http://www.theage.com.au/business/markets/banks-fall-on-mortgage-woes-20160104-glz40h.html","The Age",0,0
"34",2016-01-04,"ASX slides as soft China data adds to worries","Markets | Jessica Sier","http://www.theage.com.au/business/markets/asx-slides-as-soft-china-data-adds-to-worries-20160104-glyzvg.html","The Age",0,0
"35",2015-07-31,"Cheap no-frills mobile phone company is snatching customers from the big boys","Comment & Analysis | Elizabeth Knight","http://www.theage.com.au/business/comment-and-analysis/cheap-nofrills-mobile-phone-company-is-snatching-customers-from-the-big-boys-20150730-gio0a7.html","The Age",0,0
"36",2015-10-19,"Coles and Kogan launch mobile services","Business | David Ramli","http://www.theage.com.au/business/coles-and-kogan-launch-mobile-services-20151019-gkcgxi.html","The Age",0,0
"37",2014-03-13,"Optus, Virgin Mobile suffer major mobile outage","biles,Technology News,Digital Life News | Ben Grubb, James W. Manning","http://www.theage.com.au/digital-life/mobiles/optus-virgin-mobile-suffer-major-mobile-outage-20140313-34prg.html","The Age",33,0
"38",2015-11-13,"Phone and internet complaints fall at most providers","Business | David Ramli","http://www.theage.com.au/business/phone-and-internet-complaints-fall-at-most-providers-20151113-gky2o7.html","The Age",46,0
"39",2015-10-19,"Coles enters mobile phone market","Retail | David Ramli","http://www.theage.com.au/business/retail/coles-enters-mobile-phone-market-20151019-gkca73.html","The Age",1,0
"40",2015-10-19,"Kogan Mobile lives again with Vodafone partnership","Mobiles,Technology News | Hannah Francis","http://www.theage.com.au/digital-life/mobiles/kogan-mobile-lives-again-with-vodafone-partnership-20151019-gkck2c.html","The Age",0,0
"41",2015-09-10,"Five household names that have outperformed on the ASX","Markets | Vanessa Desloires","http://www.theage.com.au/business/markets/five-household-names-that-have-outperformed-on-the-asx-20150910-gjj4hh.html","The Age",0,0
